Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Male,Loyal Customer,,Business travel,Eco,303,5,3,3,3,5,5,5,5,4,3,3,5,5,5,0,0.0,satisfied
Female,Loyal Customer,,Business travel,Business,391,1,5,5,5,1,1,1,1,4,3,3,1,4,1,17,17.0,neutral or dissatisfied
Female,Loyal Customer,,Personal Travel,Eco Plus,569,2,4,2,3,1,2,1,1,5,4,4,5,5,1,0,0.0,neutral or dissatisfied
Male,disloyal Customer,,Business travel,Eco,109,1,0,1,1,3,1,1,3,2,5,5,3,1,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,23,Personal Travel,Business,83,4,5,0,3,5,0,5,5,3,5,4,3,5,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,52,Business travel,Eco,319,3,5,4,5,3,3,3,3,3,4,4,3,3,3,74,71.0,neutral or dissatisfied
Female,Loyal Customer,49,Business travel,Business,2159,2,1,1,1,5,4,3,2,2,2,2,4,2,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,60,Personal Travel,Eco,646,2,3,2,3,3,3,3,2,2,2,2,4,2,3,0,6.0,neutral or dissatisfied
Female,Loyal Customer,41,Business travel,Business,1576,2,1,1,1,1,4,4,2,2,2,2,2,2,2,0,10.0,neutral or dissatisfied
Male,Loyal Customer,49,Business travel,Business,1715,4,4,4,4,3,2,4,5,5,5,5,3,5,2,0,0.0,satisfied
Female,Loyal Customer,64,Personal Travel,Eco,333,5,5,2,1,2,5,4,3,3,2,3,4,3,3,0,0.0,satisfied
Female,Loyal Customer,41,Business travel,Business,534,1,1,1,1,4,4,4,4,4,4,4,5,4,5,20,23.0,satisfied
Female,disloyal Customer,29,Business travel,Eco,912,2,2,2,3,3,2,2,3,3,2,3,3,4,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,38,Business travel,Eco Plus,89,3,1,1,1,3,3,3,3,2,1,1,1,2,3,99,100.0,neutral or dissatisfied
Female,Loyal Customer,51,Business travel,Eco,305,4,4,4,4,1,2,3,3,3,4,3,3,3,2,7,0.0,satisfied
Male,disloyal Customer,26,Business travel,Eco,414,2,3,2,4,1,2,1,1,3,4,4,1,4,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,13,Personal Travel,Business,106,3,5,0,1,3,0,3,3,5,2,4,3,4,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,40,Business travel,Business,1590,1,1,3,1,4,5,4,5,5,5,5,5,5,3,0,0.0,satisfied
Female,Loyal Customer,22,Personal Travel,Eco,956,3,5,3,1,4,3,4,4,4,5,4,5,4,4,2,0.0,neutral or dissatisfied
Female,disloyal Customer,63,Business travel,Eco,906,1,2,2,3,2,2,2,2,1,2,4,1,3,2,9,0.0,neutral or dissatisfied
Female,Loyal Customer,61,Personal Travel,Eco,883,1,4,1,1,2,5,4,3,3,1,3,4,3,4,0,0.0,neutral or dissatisfied
Female,disloyal Customer,39,Business travel,Business,224,3,3,3,2,2,3,2,2,4,5,4,5,4,2,0,12.0,neutral or dissatisfied
Male,Loyal Customer,35,Business travel,Business,585,5,5,5,5,5,4,5,4,4,4,4,5,4,3,0,0.0,satisfied
Female,Loyal Customer,41,Business travel,Business,2342,5,2,5,5,4,5,5,4,4,4,4,5,4,3,5,4.0,satisfied
Male,Loyal Customer,43,Business travel,Business,1950,3,3,3,3,4,5,4,4,4,4,4,3,4,5,0,0.0,satisfied
Female,Loyal Customer,56,Business travel,Eco,657,2,3,3,3,5,2,2,2,2,2,2,4,2,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,26,Personal Travel,Eco Plus,1080,2,4,3,4,3,3,3,3,5,4,5,4,5,3,6,0.0,neutral or dissatisfied
Male,Loyal Customer,65,Personal Travel,Eco,1037,3,3,3,4,4,3,1,4,3,1,3,1,3,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,21,Personal Travel,Eco,301,3,4,4,4,2,4,4,2,4,2,4,5,4,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,64,Personal Travel,Eco,236,4,4,0,2,5,0,5,5,5,2,1,5,3,5,2,0.0,satisfied
Female,Loyal Customer,45,Business travel,Eco,109,4,2,2,2,2,2,5,4,4,4,4,4,4,1,3,1.0,satisfied
Female,Loyal Customer,68,Personal Travel,Eco Plus,328,2,3,2,3,1,4,4,4,4,2,4,3,4,3,4,3.0,neutral or dissatisfied
Female,Loyal Customer,31,Personal Travel,Eco,386,2,4,2,3,5,2,5,5,5,4,5,4,5,5,2,2.0,neutral or dissatisfied
Male,Loyal Customer,33,Business travel,Business,391,5,5,5,5,4,5,4,4,4,5,4,4,4,4,0,0.0,satisfied
Male,Loyal Customer,37,Business travel,Business,2106,2,2,2,2,2,4,4,2,2,2,2,4,2,3,0,0.0,satisfied
Female,Loyal Customer,40,Business travel,Business,1616,4,4,4,4,3,3,5,4,4,4,4,4,4,3,10,13.0,satisfied
Male,Loyal Customer,16,Personal Travel,Eco,287,3,2,3,3,1,3,5,1,3,3,4,3,4,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,43,Business travel,Business,2921,1,1,1,1,3,5,5,5,5,5,5,3,5,4,0,0.0,satisfied
Male,Loyal Customer,33,Business travel,Eco Plus,191,4,1,1,1,4,4,4,4,1,1,5,4,3,4,12,0.0,satisfied
Female,Loyal Customer,53,Business travel,Business,3429,4,4,4,4,2,5,5,5,5,5,5,4,5,4,8,0.0,satisfied
Female,Loyal Customer,53,Business travel,Eco Plus,253,4,3,3,3,4,5,3,4,4,4,4,2,4,4,5,0.0,satisfied
Male,Loyal Customer,46,Business travel,Business,996,3,3,3,3,2,5,5,4,4,5,4,4,4,3,0,4.0,satisfied
Male,Loyal Customer,47,Business travel,Business,201,3,3,4,3,5,3,1,4,4,4,5,4,4,2,0,0.0,satisfied
Female,disloyal Customer,21,Business travel,Business,787,4,0,5,1,2,5,2,2,4,3,5,4,4,2,14,7.0,satisfied
Female,Loyal Customer,21,Personal Travel,Eco,733,2,4,2,3,2,5,5,3,3,1,5,5,4,5,288,277.0,neutral or dissatisfied
Female,Loyal Customer,57,Business travel,Eco,1750,4,1,1,1,5,3,3,4,4,4,4,3,4,4,77,39.0,neutral or dissatisfied
Female,Loyal Customer,31,Business travel,Eco Plus,859,4,3,3,3,4,4,4,4,4,2,1,3,3,4,0,6.0,satisfied
Female,Loyal Customer,11,Personal Travel,Eco,313,5,5,5,1,2,5,2,2,3,5,4,5,4,2,81,70.0,satisfied
Male,Loyal Customer,44,Business travel,Eco Plus,594,4,2,2,2,4,4,4,4,1,1,4,1,3,4,2,0.0,neutral or dissatisfied
Female,Loyal Customer,48,Business travel,Business,1400,4,4,4,4,5,3,2,4,4,5,4,3,4,2,0,0.0,satisfied
Female,Loyal Customer,48,Business travel,Eco,201,5,4,4,4,5,4,4,5,5,5,5,5,5,5,0,0.0,satisfied
Female,Loyal Customer,57,Business travel,Business,331,1,1,5,1,5,4,4,5,5,5,5,5,5,4,0,0.0,satisfied
Female,disloyal Customer,26,Business travel,Eco,533,1,0,2,3,2,2,2,2,5,2,3,3,4,2,0,9.0,neutral or dissatisfied
Male,Loyal Customer,53,Business travel,Business,2368,4,4,4,4,3,4,4,4,4,4,4,5,4,3,0,0.0,satisfied
